ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	81	0.784683542692966	1.54241479415372	0.0013926969770005	0.246507364929088	0.244821468588508	2044	tags=17%, list=10%, signal=16%	1161/672/8945/326/867/9246/10393/7324/8554/7328/7189/10401/11059/4281
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	51	0.8087321960588	1.50616300006266	0.00687920804989504	0.608809912415711	0.604646181227617	1995	tags=16%, list=10%, signal=14%	1111/1017/1029/3479/5054/637/472/842
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	58	0.77090755696855	1.46816399361262	0.0135696474233812	0.624240514993061	0.619971251881304	1962	tags=14%, list=10%, signal=12%	1537/782/7168/7384/9377/1337/10369/775
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	25	-0.835089905572581	-1.44257041758639	0.0272182155867501	0.624240514993061	0.619971251881304	1082	tags=12%, list=5%, signal=11%	4144/4357/1786
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	57	0.746830153010614	1.42020675604219	0.0288684397763504	0.624240514993061	0.619971251881304	2146	tags=14%, list=11%, signal=13%	181/4793/5562/3952/2475/5599/7124/5563
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION	16	-0.88162848110944	-1.41100490569827	0.0196659993614192	0.624240514993061	0.619971251881304	114	tags=25%, list=1%, signal=25%	3845/5595/5604/2120
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION	22	0.863183636167884	1.40865367239191	0.0237089322288627	0.624240514993061	0.619971251881304	1177	tags=14%, list=6%, signal=13%	5567/114/5568
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	48	-0.712927174830695	-1.39400074308785	0.0317410431352404	0.624240514993061	0.619971251881304	1598	tags=19%, list=8%, signal=17%	2902/1432/2904/5530/1616/834/5534/5879/5600
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	18	0.866517333442693	1.38530270320938	0.0219641541425555	0.624240514993061	0.619971251881304	1416	tags=22%, list=7%, signal=21%	3423/9953/6677/3074
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	225	-0.511162559719101	-1.23429272306155	0.0370903696239087	0.656499542343185	0.652009655493975	1251	tags=8%, list=6%, signal=8%	4254/6361/10913/2920/2921/6366/7424/9180/943/944/1271/3556/3976/6360/94/268/4352/3447
